bundesland,jahr,monat,real,real-veraenderung,nominal,nominal-veraenderung
Sachsen,2022,Juni,...,...,...,...
Sachsen,2022,Juli,...,...,...,...
Sachsen,2022,August,...,...,...,...
Sachsen,2022,September,...,...,...,...
Sachsen,2022,Oktober,...,...,...,...
Sachsen,2022,November,...,...,...,...
Sachsen,2022,Dezember,...,...,...,...
Sachsen-Anhalt,2020,Januar,83.5,0.4,91.6,3
Sachsen-Anhalt,2020,Februar,85.6,1.3,94,3.8
Sachsen-Anhalt,2020,März,58.6,-42.5,64.4,-41.1
Sachsen-Anhalt,2020,April,24.9,-76.4,27.4,-76
Sachsen-Anhalt,2020,Mai,45.7,-61.1,50.6,-60.6
Sachsen-Anhalt,2020,Juni,78.8,-35.3,87.1,-34.6
Sachsen-Anhalt,2020,Juli,105.2,-7.5,120.8,-2.7
Sachsen-Anhalt,2020,August,110.6,-7.8,126.9,-3
Sachsen-Anhalt,2020,September,115.6,-7.2,132.7,-3.2
Sachsen-Anhalt,2020,Oktober,109.5,-5.5,125.8,-1.3
Sachsen-Anhalt,2020,November,38.3,-63.3,43.8,-61.8
Sachsen-Anhalt,2020,Dezember,33.8,-70.8,38.7,-69.5
Sachsen-Anhalt,2021,Januar,26.1,-68.7,29.6,-67.7
Sachsen-Anhalt,2021,Februar,26.6,-68.9,30.2,-67.9
Sachsen-Anhalt,2021,März,34.7,-40.8,39.2,-39.1
Sachsen-Anhalt,2021,April,35,40.6,39.5,44.2
Sachsen-Anhalt,2021,Mai,44.2,-3.3,50,-1.2
Sachsen-Anhalt,2021,Juni,80.6,2.3,92.3,6
Sachsen-Anhalt,2021,Juli,106.5,1.2,122.5,1.4
Sachsen-Anhalt,2021,August,115,4,133,4.8
Sachsen-Anhalt,2021,September,119.4,3.3,138.2,4.1
Sachsen-Anhalt,2021,Oktober,...,...,...,...
Sachsen-Anhalt,2021,November,...,...,...,...
Sachsen-Anhalt,2021,Dezember,...,...,...,...
Sachsen-Anhalt,2022,Januar,...,...,...,...
